,0,1
0,190075,"Sep 11, 2019"
1,190074,"Aug 29, 2019"
2,190073,"Aug 15, 2019"
3,190072,"Jul 18, 2019"
4,190071,"Jul 11, 2019"
5,190070,"Jul 4, 2019"
6,190069,"Jun 27, 2019"
7,190068,"Jun 24, 2019"
8,190067,"Jun 13, 2019"
9,190066,"Jun 6, 2019"
10,190065,"Jun 3, 2019"
11,190064,"May 30, 2019"
12,190063,"May 27, 2019"
13,190062,"May 23, 2019"
14,190061,"May 9, 2019"
15,190060,"May 7, 2019"
16,190059,"May 2, 2019"
17,190058,"Apr 29, 2019"
18,190057,"Apr 25, 2019"
19,190056,"Apr 23, 2019"
20,190055,"Apr 18, 2019"
21,190054,"Apr 16, 2019"
22,190053,"Apr 15, 2019"
23,190052,"Apr 11, 2019"
24,190051,"Apr 8, 2019"
25,190050,"Apr 4, 2019"
26,190049,"Apr 1, 2019"
27,190048,"Mar 28, 2019"
28,190047,"Mar 25, 2019"
29,190046,"Mar 21, 2019"
30,190045,"Mar 20, 2019"
31,190044,"Mar 18, 2019"
32,190043,"Mar 14, 2019"
33,190042,"Mar 4, 2019"
34,190041,"Feb 28, 2019"
35,190040,"Feb 22, 2019"
36,190039,"Feb 21, 2019"
37,190038,"Feb 14, 2019"
38,190037,"Feb 11, 2019"
39,190036,"Feb 7, 2019"
40,190035,"Feb 4, 2019"
41,190034,"Jan 31, 2019"
42,190033,"Jan 28, 2019"
43,190032,"Jan 24, 2019"
44,190031,"Jan 21, 2019"
45,190030,"Jan 17, 2019"
46,190029,"Jan 14, 2019"
47,190028,"Jan 10, 2019"
48,190027,"Jan 7, 2019"
49,190026,"Jan 3, 2019"
50,190025,"Dec 27, 2018"
51,190024,"Dec 20, 2018"
52,190023,"Dec 17, 2018"
53,190022,"Dec 13, 2018"
54,190021,"Dec 3, 2018"
55,190020,"Nov 26, 2018"
56,190019,"Nov 15, 2018"
57,190018,"Nov 13, 2018"
58,190017,"Nov 5, 2018"
59,190016,"Nov 1, 2018"
60,190015,"Oct 29, 2018"
61,190014,"Oct 25, 2018"
62,190013,"Oct 23, 2018"
63,190012,"Oct 22, 2018"
64,190011,"Oct 18, 2018"
65,190010,"Oct 15, 2018"
66,190009,"Oct 11, 2018"
67,190008,"Oct 9, 2018"
68,190007,"Oct 4, 2018"
69,190006,"Oct 1, 2018"
70,190005,"Sep 27, 2018"
71,190004,"Sep 24, 2018"
72,190003,"Sep 20, 2018"
73,190002,"Aug 21, 2018"
74,190001,"Jul 19, 2018"
